company_id,company_name,country,industry,size_bin,group_memberships,signals_count,last_ts,score_0_100
236,Compañía Oriental de Transporte,UY,transport_logistics,m,0.0,0,,0.0
235,Cusqueña,PE,agro_food,m,0.0,0,,0.0
234,Banesco Banco Múltiple,DO,finance_insurance,m,0.0,0,,0.0
233,Banco del Estado de Chile,CL,finance_insurance,m,0.0,0,,0.0
232,Banco de Seguros del Estado,UY,finance_insurance,m,0.0,0,,0.0
231,BAC Credomatic,PA,finance_insurance,m,0.0,0,,0.0
230,Almac,CL,retail_consumer,m,0.0,0,,0.0
239,Educativa,PA,ict_telecom,m,0.0,0,,0.0
267,Líder (supermercado),CL,retail_consumer,m,0.0,0,,0.0
266,Transnordestina Logística,BR,transport_logistics,m,0.0,0,,0.0
265,Radiodifusión Nacional del Uruguay,UY,ict_telecom,m,0.0,0,,0.0
264,La Ibérica,PE,manufacturing,m,0.0,0,,0.0
263,Tambo+,PE,retail_consumer,m,0.0,0,,0.0
262,Brasil Kirin,BR,agro_food,m,0.0,0,,0.0
261,Chilefilms,CL,ict_telecom,m,0.0,0,,0.0
260,Copetrol,PY,oil_gas,m,0.0,0,,0.0
259,Despegar,AR,transport_logistics,l,0.0,0,,0.0
248,Sweet & Coffee,EC,agro_food,m,0.0,0,,0.0
257,Banco Fassil,BO,finance_insurance,m,0.0,0,,0.0
256,Banco Continental,PY,finance_insurance,m,0.0,0,,0.0
255,Etesa,PA,energy_power,m,0.0,0,,0.0
254,Central Romana Corporation,DO,manufacturing,m,0.0,0,,0.0
253,Ferrocarril Uruguayo del Este,UY,transport_logistics,m,0.0,0,,0.0
252,Vox (Paraguay),PY,ict_telecom,m,0.0,0,,0.0
251,Totalplay Telecomunicaciones,MX,ict_telecom,m,0.0,0,,0.0
250,Tienda Inglesa,UY,retail_consumer,m,0.0,0,,0.0
249,Grupo Globo,BR,ict_telecom,m,0.0,0,,0.0
258,Banco Sol,BO,finance_insurance,m,0.0,0,,0.0
56,Expreso Pocitos,UY,agro_food,m,0.0,0,,0.0
55,Confitería Lion d'Or,UY,agro_food,m,0.0,0,,0.0
54,Avianca Cargo,CO,transport_logistics,m,0.0,0,,0.0
53,FluyezCambios,PE,ict_telecom,m,0.0,0,,0.0
52,Corporación Minera de Bolivia,BO,mining_metals,m,0.0,0,,0.0
51,Nutrisa,MX,agro_food,m,0.0,0,,0.0
50,Vianney,MX,manufacturing,m,0.0,0,,0.0
49,Interceramic,MX,retail_consumer,m,0.0,0,,0.0
153,Wingo,CO,transport_logistics,m,0.0,0,,0.0
47,Ferrocarril de Piria,UY,transport_logistics,m,0.0,0,,0.0
46,Frigorífico Reyes,BO,transport_logistics,m,0.0,0,,0.0
45,SuperVia,BR,transport_logistics,m,0.0,0,,0.0
44,Ferrovías,AR,construction_realestate,m,0.0,0,,0.0
43,Trenes de Buenos Aires,AR,transport_logistics,l,0.0,0,,0.0
42,Grupo R5,CO,finance_insurance,m,0.0,0,,0.0
41,Frigorífico Santa Rita,BO,transport_logistics,m,0.0,0,,0.0
40,Companhia Paulista de Trens Metropolitanos,BR,transport_logistics,m,0.0,0,,0.0
39,Companhia Brasileira de Trens Urbanos,BR,transport_logistics,m,0.0,0,,0.0
48,Modatelas,MX,manufacturing,m,0.0,0,,0.0
75,People in Profit System,PA,chemicals_materials,m,0.0,0,,0.0
74,Global Investment International Corp.,PA,chemicals_materials,m,0.0,0,,0.0
73,Emerald Passport,PA,construction_realestate,m,0.0,0,,0.0
72,COETC Inter,UY,transport_logistics,m,0.0,0,,0.0
71,MasAir Cargo México,MX,transport_logistics,m,0.0,0,,0.0
70,Cervecería Oriental,UY,agro_food,m,0.0,0,,0.0
69,Banco Hypothecario e Agricola do Estado de Minas Geraes,BR,finance_insurance,m,0.0,0,,0.0
68,Banco de la Republica del Paraguay,PY,finance_insurance,m,0.0,0,,0.0
57,La Casa de Lucy,UY,agro_food,m,0.0,0,,0.0
66,"Sud-América, Compañía de Seguros de Vida",CL,finance_insurance,m,0.0,0,,0.0
65,Planta de Alimentos Balanceados La Estrella,CL,agro_food,m,0.0,0,,0.0
64,Agricultural Mortgage Bank,CO,finance_insurance,m,0.0,0,,0.0
63,Banco Hipotecario de Panama,PA,finance_insurance,m,0.0,0,,0.0
62,Canadian Pacific Kansas City,MX,transport_logistics,l,0.0,0,,0.0
61,Monarca Films,UY,ict_telecom,m,0.0,0,,0.0
60,Navegación Aérea y Aeropuertos Bolivianos,BO,transport_logistics,m,0.0,0,,0.0
59,Qik Banco Digital Dominicano,DO,finance_insurance,m,0.0,0,,0.0
58,Petrobahia,BR,oil_gas,m,0.0,0,,0.0
67,Banco Agricola del Paraguay,PY,finance_insurance,m,0.0,0,,0.0
18,NotiPress,MX,ict_telecom,m,0.0,0,,0.0
289,MultiCine,BO,ict_telecom,m,0.0,0,,0.0
288,Cine Center,BO,ict_telecom,m,0.0,0,,0.0
287,Banco Ganadero,BO,finance_insurance,m,0.0,0,,0.0
286,Banco Fortaleza,BO,finance_insurance,m,0.0,0,,0.0
285,Banco Fie,BO,finance_insurance,m,0.0,0,,0.0
284,Banco Internacional,EC,finance_insurance,m,0.0,0,,0.0
283,WIND Telecom,DO,ict_telecom,m,0.0,0,,0.0
38,EcuaMedios,EC,ict_telecom,m,0.0,0,,0.0
281,Televisa San Ángel,MX,ict_telecom,m,0.0,0,,0.0
280,Telecom Colombia,CO,ict_telecom,m,0.0,0,,0.0
279,Sodimac,MX,retail_consumer,m,0.0,0,,0.0
278,Administración de los Ferrocarriles del Estado,UY,transport_logistics,m,0.0,0,,0.0
