row_idx,entity_id,old_industry,new_industry,reason,score,sector_hint
2272,ext::ungc::spic-brasil-br,energy_power_utilities,energy_power,weighted,2.0,
2273,ext::ungc::transforma-a-br,retail_consumer_services,retail_consumer,weighted,6.0,
2274,ext::ungc::arauz-advogados-associados-br,retail_consumer_services,retail_consumer,weighted,6.0,
2275,ext::ungc::gastrococina-sur-spa-chili-s-cl,agro_food_beverage,agro_food,weighted,5.5,
2276,ext::ungc::fundacao-de-assistencia-e-previdencia-social-do-bndes-fapes-br,ict_digital_media,ict_telecom,weighted,2.0,
2277,ext::ungc::almap-bbdo-publicidade-e-comunicacoes-ltda-br,ict_digital_media,ict_telecom,weighted,2.0,
2278,ext::ungc::colegio-registral-imobiliario-de-minas-gerais-cori-mg-br,transport_mobility_logistics,public_social_education,alias,,
2279,ext::ungc::scania-del-per-pe,transport_mobility_logistics,transport_logistics,weighted,7.5,
2280,ext::ungc::yara-brasil-br,agro_food_beverage,agro_food,weighted,5.5,
2281,ext::ungc::l-or-al-brasil-br,agro_food_beverage,agro_food,weighted,5.5,
2282,ext::ungc::centro-universitario-de-jaguariuna-unifaj-br,agro_food_beverage,agro_food,weighted,5.5,
2283,ext::bcorp::peralta-abogados-cl,environmental_circular_services,finance_insurance,weighted,3.0,
2284,ext::bcorp::psicometrix-cl,public_social_education,transport_logistics,weighted,2.5,
2285,ext::bcorp::para-todos-agencia-de-seguros-ltda-co,finance_insurance_capital,finance_insurance,weighted,2.5,
2286,ext::bcorp::eyxo-br,ict_digital_media,retail_consumer,weighted,2.5,
2287,ext::bcorp::alaya-www-alaya-com-br-br,public_social_education,finance_insurance,weighted,2.0,
2288,ext::bcorp::consumo-responsable-srl-ar,environmental_circular_services,public_social_education,alias,,
2289,ext::bcorp::mov-investimentos-ltda-br,transport_mobility_logistics,transport_logistics,weighted,7.5,
2290,ext::bcorp::essence-branding-br,ict_digital_media,retail_consumer,weighted,2.5,
2291,ext::bcorp::trasiego-wines-s-a-cl,agro_food_beverage,retail_consumer,alias,,
2292,ext::bcorp::dengo-br,agro_food_beverage,retail_consumer,alias,,
2293,ext::sbti::vale-s-a-br,mining_materials,mining_metals,weighted,5.0,
2294,ext::ungc::walmart-mexico-y-centroamerica-mx,retail_consumer_services,retail_consumer,weighted,6.0,
2295,ext::ungc::brd-brasil-distressed-consultoria-empresarial-s-a-br,finance_insurance_capital,ict_telecom,weighted,3.0,
2296,ext::ungc::integrarse-mx,retail_consumer_services,retail_consumer,weighted,6.0,
2297,ext::ungc::baker-mckenzie-mexico-mx,industrial_manufacturing,manufacturing,weighted,3.0,
2298,ext::ungc::tentia-consulting-group-s-a-de-c-v-mx,ict_digital_media,ict_telecom,weighted,5.0,
2299,ext::bcorp::energe-sa-ar,energy_power_utilities,manufacturing,weighted,3.0,
2300,ext::ungc::servico-de-apoio-as-micro-e-pequenas-empresas-no-amazonas-se-br,transport_mobility_logistics,transport_logistics,weighted,7.5,
2301,ext::ungc::solidaridad-brasil-br,ict_digital_media,ict_telecom,weighted,2.0,
2303,ext::bcorp::centro-de-innovaci-n-y-emprendimiento-copayapu-consultores-l-cl,ict_digital_media,ict_telecom,weighted,2.0,
2304,ext::bcorp::hotel-vilar-am-rica-co,hospitality_tourism_leisure,healthcare_pharma_biotech,alias,,
2305,ext::sbti::aguas-andinas-s-a-cl,energy_power_utilities,energy_power,weighted,2.0,
2306,ext::bcorp::lup-cl,professional_services_consulting,retail_consumer,alias,,
2307,ext::bcorp::organic-life-tomaquet-s-a-ec,agro_food_beverage,agro_food,weighted,7.5,
2308,ext::bcorp::emprendec-ec,public_social_education,healthcare_pharma_biotech,alias,,
2309,ext::ungc::minera-pangea-sa-de-cv-mx,mining_materials,mining_metals,weighted,5.0,
2310,ext::bcorp::movida-aluguel-de-carros-br,transport_mobility_logistics,transport_logistics,weighted,7.5,
2311,ext::bcorp::reserva-br,retail_consumer_services,retail_consumer,weighted,8.5,
2312,ext::ungc::vivara-br,agro_food_beverage,agro_food,weighted,5.5,
2313,ext::ungc::sicredi-participacoes-s-a-br,finance_insurance_capital,ict_telecom,weighted,3.0,
2314,ext::bcorp::colibri-digital-marketing-ve,ict_digital_media,public_social_education,weighted,3.0,
2315,ext::ungc::m-dias-branco-s-a-ind-e-com-de-alimentos-br,agro_food_beverage,agro_food,weighted,5.5,
2316,ext::ungc::cauda-mx,industrial_manufacturing,manufacturing,weighted,3.0,
2317,ext::bcorp::grupo-remm-gt,agro_food_beverage,agro_food,weighted,5.5,
2318,ext::bcorp::grupo-cemaco-gt,retail_consumer_services,retail_consumer,weighted,8.5,
2319,98,mining_materials,mining_metals,weighted,5.0,
2320,ext::bcorp::waycarbon-br,ict_digital_media,ict_telecom,weighted,5.0,
2321,ext::bcorp::grupo-box-print-br,agro_food_beverage,healthcare_pharma_biotech,alias,,
2322,ext::ungc::ohquidea-br,transport_mobility_logistics,transport_logistics,weighted,7.5,
2323,ext::ungc::1sti-br,ict_digital_media,ict_telecom,weighted,5.0,
2324,ext::ungc::rd-gente-saude-e-bem-estar-br,retail_consumer_services,retail_consumer,weighted,6.0,
2325,ext::ungc::instituto-coca-cola-brasil-br,ict_digital_media,public_social_education,alias,,
2326,ext::ungc::unica-uniao-da-industria-de-cana-de-acucar-br,transport_mobility_logistics,transport_logistics,weighted,7.5,
2328,ext::ungc::unimed-joao-pessoa-br,agro_food_beverage,agro_food,weighted,5.5,
2329,ext::bcorp::talleres-sustentables-ar,industrial_manufacturing,manufacturing,weighted,3.0,
2330,ext::ungc::operadora-de-desarrollo-social-s-a-p-i-de-c-v-mx,industrial_manufacturing,manufacturing,weighted,3.0,
2332,ext::bcorp::ecofiltro-s-a-gt,agro_food_beverage,agro_food,weighted,5.5,
2333,ext::ungc::banco-de-bogota-co,finance_insurance_capital,finance_insurance,weighted,5.5,
2334,ext::bcorp::porta-hermanos-ar,transport_mobility_logistics,transport_logistics,weighted,7.5,
2335,ext::bcorp::ikigai-laboratorio-social-pe,professional_services_consulting,healthcare_pharma_biotech,alias,,
2337,ext::ungc::positiva-compania-de-seguros-s-a-co,ict_digital_media,ict_telecom,weighted,2.0,
2338,ext::bcorp::grincraft-ar,retail_consumer_services,retail_consumer,weighted,8.0,
2339,ext::bcorp::vamos-expeditions-pe,transport_mobility_logistics,transport_logistics,weighted,7.5,
2340,ext::bcorp::ibitipoca-reserva-ambiental-br,environmental_circular_services,transport_logistics,weighted,2.0,
2341,ext::bcorp::lupien-rosenberg-et-associes-sas-bic-co,construction_infrastructure_realestate,construction_realestate,weighted,3.0,
2342,ext::bcorp::paccari-ec,agro_food_beverage,retail_consumer,alias,,
