company_id,company_qid,company_name,country,industry,size_bin,source,signal_type,signal_strength,ts,url,title,text_snippet,climate_score,sentiment_label,sentiment_score
708,Q86739246,Indústria de Louças Zappi S/A,BR,manufacturing,m,memberships,sbti,1.0,2024-01-11 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"Zanettini, Barossi S/A Indústria e Comércio",0.0,,0.0
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-01-18 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"Velliv, Pension & Livsforsikring A/S",1.0,positive,0.6
934,ext::municipal-bank-of-rosario-ar,Municipal Bank of Rosario,AR,finance_insurance,m,memberships,sbti,1.0,2024-01-18 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Industrial Bank of Korea (IBK),1.0,positive,0.6
352,Q20022051,Transporte Automotor La Plata S.A.,AR,transport_logistics,m,memberships,sbti,1.0,2024-01-25 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,SPEA S.P.A.,0.0,,0.0
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-01-25 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,SPEA S.P.A.,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-02-01 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Corvaglia Closures S.A de C.V,1.0,positive,0.6
15,Q10276503,Estrada de Ferro Porto Murtinho a São Roque,BR,transport_logistics,m,memberships,sbti,1.0,2024-02-08 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Rangel Distribuição e Logística S.A.,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-02-08 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Adform A/S,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-02-15 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,EUROFISH S.A.,1.0,positive,0.6
170,Q123132435,Desarrollo de Capital Humano Ferroviario,AR,construction_realestate,l,memberships,sbti,1.0,2024-02-22 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Modele De Capital Ind. Ltd.,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-02-22 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,VIRUTEXILKO S.A.,1.0,positive,0.6
488,ext::apisa-air-cargo-pe,Apisa Air Cargo,PE,transport_logistics,m,memberships,sbti,1.0,2024-02-22 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Cargo Air Ltd,1.0,positive,0.6
29,Q104419265,Barranquilla Railway and Pier Company Ltd,CO,construction_realestate,m,memberships,sbti,1.0,2024-02-22 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,DAWON&COMPANY.LTD,1.0,positive,0.6
786,ext::compa-a-nacional-de-chocolates-de-per-s-a-pe,Compañía Nacional de Chocolates de Perú S.A.,PE,retail_consumer,m,memberships,sbti,1.0,2024-02-29 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Kim's Chocolates,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-02-29 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"EMAN, S.A.",1.0,positive,0.6
29,Q104419265,Barranquilla Railway and Pier Company Ltd,CO,construction_realestate,m,memberships,sbti,1.0,2024-03-07 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Natta Building Company ltd,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-03-07 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,A. HATZOPOULOS S.A.,1.0,positive,0.6
